DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
mtl,,,,,,
DISTRIBUTION,,,,,
entity,public sale,development fund,advisors,reserve,proof-of-processed payment
t000,"21,042,089.00",-,"3,795,567.00",-,-
t001,"21,042,089.00",-,"3,795,567.00",-,-
t002,"21,042,089.00",-,"3,795,567.00",-,-
t003,"21,042,089.00",-,"3,795,567.00",-,-
t004,"21,042,089.00",-,"3,795,567.00",-,-
t005,"21,042,089.00",-,"3,795,567.00",-,-
t006,"21,042,089.00",-,"3,795,567.00",-,-
t007,"21,042,089.00",-,"3,795,567.00",-,-
t008,"21,042,089.00",-,"3,795,567.00",-,-
t009,"21,042,089.00",-,"3,795,567.00",-,-
t010,"21,042,089.00",-,"3,795,567.00",-,-
t011,"21,042,089.00",-,"3,795,567.00",-,-
t012,"21,042,089.00",-,"3,795,567.00",-,-
t013,"21,042,089.00","166,472.00","3,795,567.00","1,115,363.00","2,191,884.00"
t014,"21,042,089.00","332,944.00","3,795,567.00","2,230,726.00","4,383,768.00"
t015,"21,042,089.00","499,416.00","3,795,567.00","3,346,089.00","6,575,652.00"
t016,"21,042,089.00","665,888.00","3,795,567.00","4,461,452.00","8,767,536.00"
t017,"21,042,089.00","832,360.00","3,795,567.00","5,576,815.00","10,959,420.00"
t018,"21,042,089.00","998,832.00","3,795,567.00","6,692,178.00","13,151,304.00"
t019,"21,042,089.00","1,165,304.00","3,795,567.00","7,807,541.00","15,343,188.00"
t020,"21,042,089.00","1,331,776.00","3,795,567.00","8,922,904.00","17,535,072.00"
t021,"21,042,089.00","1,498,248.00","3,795,567.00","10,038,267.00","19,726,956.00"
t022,"21,042,089.00","1,664,720.00","3,795,567.00","11,153,630.00","21,918,840.00"
t023,"21,042,089.00","1,831,192.00","3,795,567.00","12,268,993.00","24,110,724.00"
t024,"21,042,089.00","1,997,664.00","3,795,567.00","13,384,356.00","26,302,608.00"
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
