DATA,,,,,,,,,,
key,data,,,,,,,,,
token_name,Solana,,,,,,,,,
token_symbol,SOL,,,,,,,,,
start_date,01/03/20,,,,,,,,,
start_tokens,500000000,,,,,,,,,
emission_schedule,30D,,,,,,,,,
emission_type,unlock,,,,,,,,,
emission_incentive,,,,,,,,,,
DISTRIBUTION,,,,,,,,,,
entity,Seed Sale,Founding Sale,Validator Sale,Strategic Sale,Public Auction Sale,Team,Foundation,Community Reserve,Staking Rewards,
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,
group,investor,investor,investor,investor,investor,team_advisors,foundation,foundation,staking,
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,inflationary,
allocation,15.86,12.63,5.07,1.84,1.6,12.5,12.5,38,,
t000,,,,,1.6,0,,,,march
t001,,,,,,,,,,april
t002,,,,,,,,,,may
t003,,,,,,,,,,June
t004,,,,,,,,,,July
t005,,,,,,,,,,August
t006,,,,,,,,,,September
t007,,,,,,,,,,October
t008,,,,,,,,,,November
t009,,,,,,,,,,December
t010,,,,,,,,,,January
t011,,,,,,,,,,
t012,,,,,,,,,,
t013,,,,,,,,,,
t014,,,,,,,,,,
t015,,,,,,,,,,
t016,,,,,,,,,,
t017,,,,,,,,,,
t018,,,,,,,,,,
t019,,,,,,,,,,
t020,,,,,,,,,,
t021,,,,,,,,,,
t022,,,,,,,,,,
t023,,,,,,,,,,
t024,,,,,,,,,,
t025,,,,,,,,,,
t026,,,,,,,,,,
t027,,,,,,,,,,
t028,,,,,,,,,,
t029,,,,,,,,,,
t030,,,,,,,,,,
t031,,,,,,,,,,
t032,,,,,,,,,,
t033,,,,,,,,,,
t034,,,,,,,,,,
t035,,,,,,,,,,
t036,,,,,,,,,,
t037,,,,,,,,,,
t038,,,,,,,,,,
t039,,,,,,,,,,
t040,,,,,,,,,,
t041,,,,,,,,,,
t042,,,,,,,,,,
t043,,,,,,,,,,
t044,,,,,,,,,,
t045,,,,,,,,,,
t046,,,,,,,,,,
t047,,,,,,,,,,
t048,,,,,,,,,,
t049,,,,,,,,,,
t050,,,,,,,,,,
t051,,,,,,,,,,
t052,,,,,,,,,,
t053,,,,,,,,,,
t054,,,,,,,,,,
t055,,,,,,,,,,
t056,,,,,,,,,,
t057,,,,,,,,,,
t058,,,,,,,,,,
t059,,,,,,,,,,
t060,,,,,,,,,,
t061,,,,,,,,,,
t062,,,,,,,,,,
t063,,,,,,,,,,
t064,,,,,,,,,,
t065,,,,,,,,,,
t066,,,,,,,,,,
t067,,,,,,,,,,
t068,,,,,,,,,,
t069,,,,,,,,,,
t070,,,,,,,,,,
t071,,,,,,,,,,
t072,,,,,,,,,,
t073,,,,,,,,,,
t074,,,,,,,,,,
t075,,,,,,,,,,
t076,,,,,,,,,,
t077,,,,,,,,,,
t078,,,,,,,,,,
t079,,,,,,,,,,
t080,,,,,,,,,,
t081,,,,,,,,,,
t082,,,,,,,,,,
t083,,,,,,,,,,
t084,,,,,,,,,,
